Code,USD,Economy,Ranking,lat,lon
AFG,20725,Afghanistan,107,33,65
ALB,12904,Albania,125,41,20
DZA,210183,Algeria,49,28,3
AGO,121704,Angola,60,-12.5,18.5
ATG,1230,Antigua and Barbuda,174,17.05,-61.8
ARG,611755,Argentina,21,-34,-64
ARM,10432,Armenia,135,40,45
ABW,2584,Aruba,162,12.5,-69.9667
AUS,1560597,Australia,12,-27,133
AUT,415844,Austria,28,47.3333,13.3333
AZE,73560,Azerbaijan,67,40.5,47.5
BHS,8149,"Bahamas, The",141,24.25,-76
BHR,32788,Bahrain,94,26,50.55
BGD,129857,Bangladesh,58,24,90
BRB,4225,Barbados,154,13.1667,-59.5333
BLR,71710,Belarus,68,53,28
BEL,508116,Belgium,26,50.8333,4
BLZ,1605,Belize,169,17.25,-88.75
BEN,8307,Benin,140,9.5,2.25
BMU,5474,Bermuda,149,32.3333,-64.75
BTN,1884,Bhutan,167,27.5,90.5
BOL,30601,Bolivia,97,-17,-65
BOL,30601,Bolivia,97,-17,-65
BIH,17828,Bosnia and Herzegovina,111,44,18
BWA,14788,Botswana,119,-22,24
BRA,2245673,Brazil,7,-10,-55
BRN,16111,Brunei Darussalam,113,4.5,114.6667
BRN,16111,Brunei Darussalam,113,4.5,114.6667
BGR,53010,Bulgaria,78,43,25
BFA,11583,Burkina Faso,129,13,-2
BDI,2718,Burundi,161,-3.5,30
KHM,15250,Cambodia,117,13,105
CMR,29275,Cameroon,99,6,12
CAN,1825096,Canada,11,60,-95
CPV,1888,Cape Verde,166,16,-24
CAF,1538,Central African Republic,170,7,21
TCD,13414,Chad,124,15,19
CHL,277199,Chile,38,-30,-71
CHN,9240270,China,2,35,105
COL,378148,Colombia,31,4,-72
COM,657,Comoros,183,-12.1667,44.25
COG,14108,"Congo, Rep.",122,-1,15
CRI,49621,Costa Rica,80,10,-84
CIV,30905,Côte d'Ivoire,95,8,-5
CIV,30905,Côte d'Ivoire,95,8,-5
HRV,57539,Croatia,74,45.1667,15.5
CUB,68234,Cuba,69,21.5,-80
CYP,22767,Cyprus,104,35,33
CZE,198450,Czech Republic,52,49.75,15.5
DNK,330814,Denmark,34,56,10
DJI,1456,Djibouti,171,11.5,43
DMA,505,Dominica,184,15.4167,-61.3333
DOM,60614,Dominican Republic,72,19,-70.6667
ECU,90023,Ecuador,64,-2,-77.5
EGY,271973,"Egypt, Arab Rep.",41,27,30
SLV,24259,El Salvador,103,13.8333,-88.9167
GNQ,15574,Equatorial Guinea,114,2,10
ERI,3444,Eritrea,159,15,39
EST,24477,Estonia,102,59,26
ETH,46869,Ethiopia,83,8,38
FJI,4028,Fiji,156,-18,175
FIN,256842,Finland,42,64,26
FRA,2734949,France,5,46,2
GAB,19344,Gabon,108,-1,11.75
GMB,914,"Gambia, The",176,13.4667,-16.5667
GEO,16127,Georgia,112,42,43.5
DEU,3634823,Germany,4,51,9
GHA,47929,Ghana,81,8,-2
GRC,241721,Greece,43,39,22
GRD,834,Grenada,179,12.1167,-61.6667
GTM,53797,Guatemala,77,15.5,-90.25
GIN,6193,Guinea,147,11,-10
GNB,859,Guinea-Bissau,177,12,-15
GUY,3076,Guyana,160,5,-59
HTI,8459,Haiti,139,19,-72.4167
HND,18550,Honduras,110,15,-86.5
HKG,274013,"Hong Kong SAR, China",39,22.25,114.1667
HUN,124600,Hungary,59,47,20
ISL,14620,Iceland,120,65,-18
IND,1876797,India,10,20,77
IDN,868346,Indonesia,16,-5,120
IRN,368904,"Iran, Islamic Rep.",32,32,53
IRQ,222879,Iraq,46,33,44
IRL,217816,Ireland,48,53,-8
ISR,291357,Israel,37,31.5,34.75
ITA,2071307,Italy,9,42.8333,12.8333
JAM,14362,Jamaica,121,18.25,-77.5
JPN,4901530,Japan,3,36,138
JOR,33678,Jordan,92,31,36
KAZ,224415,Kazakhstan,45,48,68
KEN,44101,Kenya,86,1,38
KIR,169,Kiribati,190,1.4167,173
KOR,1304554,"Korea, Rep.",14,37,127.5
KOR,1304554,"Korea, Rep.",14,37,127.5
KWT,183219,Kuwait,54,29.3375,47.6581
KGZ,7226,Kyrgyz Republic,145,41,75
LAO,11141,Lao PDR,132,18,105
LVA,28373,Latvia,100,57,25
LBN,44352,Lebanon,85,33.8333,35.8333
LSO,2230,Lesotho,164,-29.5,28.5
LBR,1951,Liberia,165,6.5,-9.5
LBY,75456,Libya,66,25,17
LBY,75456,Libya,66,25,17
LTU,42344,Lithuania,89,56,24
LUX,60383,Luxembourg,73,49.75,6.1667
MAC,51753,"Macao SAR, China",79,22.1667,113.55
MKD,10221,"Macedonia, FYR",136,41.8333,22
MDG,10797,Madagascar,134,-20,47
MWI,3705,Malawi,158,-13.5,34
MYS,312435,Malaysia,35,2.5,112.5
MDV,2300,Maldives,163,3.25,73
MLI,10943,Mali,133,17,-4
MLT,8741,Malta,137,35.8333,14.5833
MHL,175,Marshall Islands,189,9,168
MRT,4163,Mauritania,155,20,-12
MUS,11938,Mauritius,128,-20.2833,57.55
MEX,1260915,Mexico,15,23,-102
FSM,335,"Micronesia, Fed. Sts.",186,6.9167,158.25
MDA,7935,Moldova,142,47,29
MCO,6075,Monaco,148,43.7333,7.4
MNG,11516,Mongolia,130,46,105
MNE,4428,Montenegro,152,42,19
MAR,104374,Morocco,61,32,-5
MOZ,15319,Mozambique,115,-18.25,35
NAM,12580,Namibia,127,-22,17
NPL,19294,Nepal,109,28,84
NLD,800173,Netherlands,18,52.5,5.75
NZL,182594,New Zealand,55,-41,174
NIC,11256,Nicaragua,131,13,-85
NER,7356,Niger,144,16,8
NGA,522638,Nigeria,23,10,8
NOR,512580,Norway,25,62,10
OMN,80570,Oman,65,21,57
PAK,236625,Pakistan,44,30,70
PLW,247,Palau,188,7.5,134.5
PAN,42648,Panama,87,9,-80
PNG,15289,Papua New Guinea,116,-6,147
PRY,29949,Paraguay,98,-23,-58
PER,202296,Peru,51,-10,-76
PHL,272017,Philippines,40,13,122
POL,517543,Poland,24,52,20
PRT,219962,Portugal,47,39.5,-8
PRI,101496,Puerto Rico,62,18.25,-66.5
QAT,202450,Qatar,50,25.5,51.25
RUS,2096777,Russian Federation,8,60,100
RUS,2096777,Russian Federation,8,60,100
RWA,7452,Rwanda,143,-2,30
KNA,743,St. Kitts and Nevis,180,17.3333,-62.75
LCA,1332,St. Lucia,172,13.8833,-61.1333
VCT,726,St. Vincent and the Grenadines,181,13.25,-61.2
VCT,726,St. Vincent and the Grenadines,181,13.25,-61.2
VCT,726,St. Vincent and the Grenadines,181,13.25,-61.2
WSM,694,Samoa,182,-13.5833,-172.3333
STP,311,São Tomé and Principe,187,1,7
SAU,745273,Saudi Arabia,19,25,45
SEN,15150,Senegal,118,14,-14
SRB,42521,Serbia,88,44,21
SYC,1268,Seychelles,173,-4.5833,55.6667
SLE,4929,Sierra Leone,151,8.5,-11.5
SGP,297941,Singapore,36,1.3667,103.8
SVK,91348,Slovak Republic,63,48.6667,19.5
SVN,45378,Slovenia,84,46,15
SLB,1096,Solomon Islands,175,-8,159
ZAF,350630,South Africa,33,-29,24
ESP,1358263,Spain,13,40,-4
LKA,67182,Sri Lanka,70,7,81
SDN,66548,Sudan,71,15,30
SUR,5231,Suriname,150,4,-56
SWZ,3791,Swaziland,157,-26.5,31.5
SWE,557938,Sweden,22,62,15
CHE,650782,Switzerland,20,47,8
TJK,8508,Tajikistan,138,39,71
TZA,33225,Tanzania,93,-6,35
THA,387252,Thailand,29,15,100
TGO,4339,Togo,153,8,1.1667
TON,466,Tonga,185,-20,-175
TTO,24641,Trinidad and Tobago,101,11,-61
TTO,24641,Trinidad and Tobago,101,11,-61
TUN,47129,Tunisia,82,34,9
TUR,820207,Turkey,17,39,35
TKM,41851,Turkmenistan,90,40,60
TUV,38,Tuvalu,191,-8,178
UGA,21483,Uganda,106,1,32
UKR,177431,Ukraine,56,49,32
ARE,383799,United Arab Emirates,30,24,54
GBR,2522261,United Kingdom,6,54,-2
USA,16800000,United States,1,38,-97
URY,55708,Uruguay,76,-33,-56
UZB,56796,Uzbekistan,75,41,64
VUT,835,Vanuatu,178,-16,167
VEN,438284,"Venezuela, RB",27,8,-66
VEN,438284,"Venezuela, RB",27,8,-66
VNM,171392,Vietnam,57,16,106
VNM,171392,Vietnam,57,16,106
YEM,35955,"Yemen, Rep.",91,15,48
ZMB,22384,Zambia,105,-15,30
ZWE,12802,Zimbabwe,126,-20,30
